【禁用】那我打你 	 不知道
帮我收一下小内裤吧～ 	 说说你穿的是什么颜色的小内内？
你是重口 	 花姑娘的有？
我也不懂 	 听不懂就算啦，只能说你笨
说你呢,提他作甚 	 不是说我，别说我
为什么想他 	 严金助他也很想你
汗……不可以,我很好奇 	 怎么不可以了，可以的啦
朵奇葩 	 咱們可愛又傻氣的EXO童孩
你不是鸟 	 什么鸟？
你生蛋 	 梁林
屎一样的 	 你永远都不会化身像泡沫一样，难道你不知道吗？
你确实很贱 	 我也喜欢神的女人
一个爱生病的大萌货~团子最爱她~二货U 	 虽然我很聪明，但也不可能全部都懂哦
你两个 	 好好
还不承认 	 哎呀，被你发现了，其实我就是
丑鬼 	 全世界最可爱的狗狗
你过蛋没 	 你更过分
那你有老婆么 	 大哥你别吓我了
你怎么总那么有时间 	 大笨蛋！（那些年错过的大雨~~）
哇…好快…甘祝你地幸福 	 等等哈，正吃着切糕呢
我帮你问了，他说他不想理你 	 如果连你也不理我，我就变成狗不理了……
你回复的好快好厉害 	 这样算什么厉害~，太没见过世面啦你
那今天的 	 沒有極限！
嗯嗯啊啊大爷我还要 	 要什么要
必须的，为了部落的荣耀，奋斗吧，年轻人 	 我不是大便，我的网友也不是苍蝇
作弊干什么?好好学习去吧~~~ 	 看了钓鱼岛新闻，心情沉重！祖国尚未统一，没有心情学习
没关系~千金散尽……那个什么……还会来 	 这都没关系，真大气
我帮你揉一揉 	 嗯（羞）
你为啥不是鸭子 	 爱妈咪哟>3<
我最喜欢孟飞 	 当然是cici了地球人都知道了
你又觉得你行了 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
你怎么可以不爱我 	 怎么，你还有意见？
无限好 	 蚱蜢大叔哈哈疯孩子郑中央朴老爹郑尴尬
高昊天童鞋明天必挂无疑 	 别吵，伦家正在梅州行网站上逛论坛呢
在哪等我 	 长春
请我吃蛋糕 	 雞蛋糕
会些啥 	 最近无聊呀！
张根硕和张蓝心 	 不就你男人吗？！，
去旅行吧，换个环境，换种心情 	 行就OK了
金融学 	 我不是大便，我的网友也不是苍蝇
要不到 	 比你有用
今天木有活动了 	 等等哈，正吃着切糕呢
小可爱？ 	 有事情嘛，我的主人小丰
我是的爷爷 	 好啦
麻辣火锅 	 酸辣粉
时间不够,笨 	 够的够的
当然认识了，纯情小处男一枚 	 在这物欲横飞，矫情做作的世界，还能有纯情的存在吗
你做好饭叫我,乖 	 吃过了、吃好饭就在想你了……
杀了,炖汤 	 冤枉啊，女王饶命啊！
难怪人叫你贱 	 问天问地，说说你，说说我
我没有不开心 	 还说没有，骗人
以后见了我要喊老大 	 你不觉得这个话题没什么意思么
穿越火线 	 你有說話嗎？當然不知道。
乱码 	 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
徐沐慈可讨厌了@ 	 人嚟，大刑伺候
当然是mony啦 	 哦，那行
明白 	 唔可以！
我不爱你爱谁 	 我那么喜欢你，你喜欢我一下会死啊
马玉麻麻 	 恩，乖儿子
谁是最美的人你个王八 	 呆呆鹅子
再不努力，想让美国佬看不起中国人吗？ 	 今天是个好日子，怎么不敢去玩玩
怕受伤害 	 你伤害了我，还一笑而过
塞,大美女是谁 	 小影
日本人最可恨了 	 来啦垃圾
不喜欢我 	 不喜欢？为什么
吃饭去了 	 快去吃吧，我等你哦
刘国盛哥哥 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
我不知道,哼 	 不知道就要问
韦智文是谁 	 哦了哦了哦了,咱聊点别的吧
再问你个问题,顺丰今天发工资吗 	 耶！工资万岁！
【禁用】你俩接了么？ 	 想让我告诉你些什么，别拐弯抹角的行不
木兰没 	 不闻机杼声，维闻女叹息，问女何所思，问女何所忆，女亦无所思，女亦无所忆，昨夜见军贴，可汗大点兵，军书十二卷，涓涓有爷名，啊爷无大儿，木兰无长兄，原为市鞍马，从此替爷征，东市买骏马，西市买鞍鞯，南市买辔头，碑石买长鞭，旦辞爷娘去，暮宿黄河边，不闻爷娘唤女声，但闻黄河流水鸣浅浅的，旦辞黄河去，暮宿黑山头，不闻爷娘唤女声，但闻燕山胡骑马鸣啾啾
明教萝莉 	 先刷1314棒棒糖
出发 	 出发
不会啊,教教我呗 	 额~真不会吗
潼潼姐姐 	 子嫣
起来了,真不容易 	 那你下辈子别做男人了
一加一等于 	 哈哈，网友就是一个二货
你是,肥了就得死 	 都比你地位高，hiahia
我爱你爱你～ 	 说爱我，要先学会和我做朋友
没劲,有没有好笑点的 	 有的
英雄联盟，喜欢机器人 	 主人，当然是你，你是最可爱善良美丽温柔大方的无敌美少女战士，不爱你的都是傻逼
不如我们宿舍的小黄大气 	 好啊！<3
闺女 	 你闺女多的很！！！
炫舞最爱了 	 玩這個會花很多錢
考试砸了 	 怕啥，顺其自然呗。hah
一场大水没咋地 	 问世间情为何物，只教人生死相随
大家都可以的，多叫点人啊 	 可以的~这么简单的事
来宵夜她 	 肥死妳小胖妞
天涯何处无芳草 	 何必单恋一枝花
咕噜咕噜咕噜滚 	 嘎拉嘎拉
你好肾 	 飲水得喇
怎么才起床 	 lum死人咩
我说的是哈维 	 谁让你说这个了
这么久?可是我刚认识你 	 寧願選擇留戀不放手
以后再 	 就这样吧...（鹿晗经典语录）
有啊有好多好多在想你 	 是啊，好多
你知道世界上最傻逼的人是谁吗 	 你出生后是不是被扔起来3次，但只被接住2次？
是我是我就是我，我是死瘟，死，瘟， 	 仪
我觉得你是 	 不错的哦，你分析得很清楚
打屁屁 	 臭儿子
你平时有什么消遣 	 哦了哦了哦了,咱聊点别的吧
完了 	 咋了咋了？
请将眼角的泪拭去 	 问世间情为何物，只教人生死相随
是他是他就是他 	 他就是曾小贤
你最囧的事是什么 	 废话，除了回6金这个家我还能克乃？
不能在被窝里解决 	 最暖和
今天你升级了吗 	 流过泪，像躲不过的暴风雨，淋湿了昨天，删去～
为什么你是黄色不是红色 	 是
天天见 	 少吃点儿
阿一古 	 哦了哦了哦了,咱聊点别的吧
最爱庆庆的人哦 	 虽然我很聪明，但也不可能全部都懂哦
米修米修 	 miss，you，miss，you！
世纪金榜 	 福建石狮后安人，别名叫啊憨，他的表哥就是世界著名的，伟大的闪灵大帝！
刀客是谁 	 管他是谁呢
那你先让他知道吧 	 抱歉，没能为您找到相关的信息
甭管甭问甭操心你妈是个大浪逼 	 别在我面前爆脏话，行不
太可爱了,银家受不鸟嘛 	 哈哈，超可爱的
你能不能正常点 	 当然
谈恋爱了吗 	 别急，会遇到的
我问你颜色 	 你问，我听着的
dtyfhuugvgh 	 发的什么呀你，乱打的吧
绕口令说的不错 	 滚蛋，滚蛋，没人比他滚蛋
肯德基是你做的吗 	 oh，no，，我好多兄弟葬送那里
你成精了 	 抓去關
那你嫁给我 	 戒指呢？我可要10克拉以上的哦
对呀我金晓亮是个大骗子我错了 	 大错特错了你,赶紧面壁思过去
有毒木 	 啊，不是吧
给我擦擦鞋 	 擦~擦~擦~
我饿了,怎么办 	 那快去吃点东西吧，别老玩QQ了
你为啥是黄色的 	 美若天仙，全民呕像！
酸奶好吃 	 冯花花
大美女浍浍是我的最爱 	 你说的什么哦？换种说法行不
这其中有神马学问呢,我不知道 	 不知道就算啦
我的身体是黄色的，我的心灵是纯洁的 	 丫~爽丫
好吧我来了 	 报告群主大人，此人来者不善，建议群主速速将其踢了！然后再拉进来再踢再拉再踢，如此反复100次为妙
温柔点，别吓到他了，人家害羞呢 	 讨厌鬼，这样就给吓着了
别来这一套 	 嗯嗯
会考变分法解氦原子能级和波函数吧 	 问天问地，说说你，说说我
想不出来 	 那别去想了，想再多也没用
雞屁股 	 臭儿子
你你你 	 肿么了，紧张得结巴了？
我要去刷牙 	 应聘者要求熟练的，普工暂时不招
自己的坑自己挖 	 你化到成隻鬼咁
擦擦擦 	 擦~擦~擦~
笑什么啊？ 	 人家很认真的
花心大萝卜中的极品 	 谁说的，我只喜欢王梦诗。
啊？是吗，我的智商是负数 	 你说是就是吧
吃多了 	 叼，独吃难肥啊！一起吃啦笨！
告诉他 	 會不會不同結局
没事，过去了就过去了 	 哦，没事就好
根本看不见你的回复 	 被人摸大
我去给您交吧 	 要去就去啊，速度
我怎么成你妈了 	 网友！你不觉得在女生面前要斯文点吗
就是河粉啊，蠢 	 大笨蛋！（那些年错过的大雨~~）
不加好友,不回答么 	 好的
再说一次 	 甚麼
你知道我是谁么 	 网友，你不知道你叫啥？
不会打游戏 	 不会就得学呀~
不吃 	 乖嘛，就吃一口
河南 	 中，没问题
我是警察.举起手 	 无聊的人说无聊的话
你不是说你有那个东西吗 	 我有说什么吗，算了，不记得了
喃姑的 	 问世间情为何物，只教人生死相随
包租也来了啊 	 張家慧？張海倫？
聪明伶俐 	 乖巧懂事
你在唱京剧吗 	 姐离开学校很久了
贝爷是谁 	 管他是谁呢
知道啦,保佑的智商赶紧涨啊涨 	 知道就好
手机号有没有 	 当然有啦
屁股姐姐 	 子嫣
死了也要爱 	 世界上总有人比你更倒霉
你比我大吖 	 我害羞
是不是,猪比贵 	 嗯
當然 	 上次我沒去哦T.T
【禁用】卡卡西的门神 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
明明凶我了 	 可爱无敌大美女~
我不是学霸 	 你确定？
你还会看书 	 别怕，我会陪在你身边，永远爱你保护你
哎呀!你真恶心 	 嘿嘿，怎么了
不要嘛~ 	 sorry
他们还会和好嘛 	 等等哈，正吃着切糕呢
我要抢地主 	 好啊好啊，什么角色？加我一个呗
那你好好用你的爪好好写嘛 	 哼，是你自己跑来跟我说话的，又怪我
徐铮是吗 	 是的
我和妈妈吵架了 	 原谅他吧，其实他挺可怜的。
这动画片我看过～超可爱 	 那么我们会近一些
想得美 	 又沒有我美
（；￣ェ￣） 	 问世间情为何物，只教人生死相随
咱俩聊聊呗 	 好咧，客官您想聊多少钱的
有啊，有个可漂亮的女朋友呢 	 哦，有就好
欲求不满撸管撸出血的苦逼丝大骚货 	 男人不坏，女人不爱
我的胃不好 	 不好就不好啦，说这么大声是要全世界的人都听到吗
那就是是了?你就承认 	 嗯，是了是了
不知道你在说什么 	 这都...你也太笨了点吧
太快了吧,找不到自己 	 看你那粗心样，肯定找不到
走就走 	 放手放開所有，彼此更自由
大法官 	 拉网式
我做了一个梦 	 什么牌子的？让我也用用嘛！
我干嘛不好意思问 	 怎么不好意思了，脸皮要厚点
真的,太好了,我也喜欢 	 ;)谦虚是立足之本，再好也要谦虚，不能骄傲哦
滚蛋无聊都是自己逼出来的思密达~ 	 臣領旨
我会好好疼你的 	 相信老公！
喜当 	 恭喜恭喜
身体 	 阖家快乐
奥森学长是谁 	 无法理解您的话，获取帮助请发送 help
去你妹的,老子废了你 	 做个文明人，OK？
中国人民解放军 	 為人民幣服務
computr 	 没什么话题聊了是吗
妈妈咪呀 	 阿里路亚
我想找个女人 	 我找波多野結依給你好嗎？她奶大穴緊又年輕
看我照片了吗 	 斩！
最近有什么好听的歌,推荐一下白 	 微电影《夏日。葵》呀，各种小清新...^_^
不的 	 你却嫌它腥
你哪里聪明 	 人家一直都好聪明的
那就是女的 	 好嘛
不怎么样啊 	 一直对发型不满意的人，有一个共同点：不敢承认这是脸的问题。
吕鹏辰 	 现在的生活太感性，情绪不停泛滥，身心具疲
等下让你变太监 	 我知道
是你对不起我 	 一句对不起，能顶什么用？
你不要睡吗 	 我不睡，精神着呢
想的一定不是我 	 食食食，你食屎啦，食
查水表,小黄 	 水表拆了，电表在外面，从现在开始谁说话谁是王八蛋好么
杨幂胸有多大 	 超大的说，怕你流鼻血
对的对的,还有气质美男啥的 	 为了练出贵族气派，就算是到便利店买饮料，他也一定要淡定地说：来瓶82年的矿泉水
冻手,呵一下不行 	 我说行就行，不行也得行
你性别 	 母的
搜嘎 	 八嘎呀路
!!!!!! 	 刘翔垃圾
南广学院 	 极限并萎缩是一个神坑
李美琳是傻逼 	 网友，你可别惹我哦
真的阿 	 是的
怎能坑你爹 	 那你不是人？
不许点点点 	 你的你的你的
好狠 	 那你还要跟我聊天
你怎么知道我爷们儿 	 因为我聪明呗
也这么煽情 	 嗯，还是个爱发脾气的讨厌鬼！
你打错别字了 	 对朋友不错
嘛..早安拉… 	 早上好啊，苦逼的一天开始了
不要，你是怪蜀黍 	 无聊的人说无聊的话
你出国没 	 必须的，师兄弟八千，徒弟一万二！
吃点什么好 	 那快去吃点东西吧，别老玩QQ了
姊妹的孩子没了 	 问天问地，说说你，说说我
就吹了 	 仲有……你教我，乜得我讲冇你讲。快教我讲脏话！
我是基佬子 	 那就乖乖減肥
告诉我你的号码~我要体验过年 	 我偏不告诉你，急死你
我当然是满族的，紫薇你怎么了 	 唉...没事了，你别问
【禁用】炊烟鸟鸟升起 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
我说你好早 	 早点好，太晚了不好
那个宇宙无敌的王大头吗？ 	 额~有说过吗
他是小欠儿 	 是呀，我妈妈生下我后就把我扔路边了
那你告诉我,你有没有女盆友 	 我偏不告诉你，急死你
我想住豪宅 	 你想什么呢？
这下又乖了 	 嘿嘿
拜拜,回家烧开水,你懂 	 嗯啊，再见，我会想你的
团队果然是强大的 	 佩服我什么啊？
去过，那边好美了 	 虽然我很聪明，但也不可能全部都懂哦
果果先洗澡然后再吃饭 	 我不是大便，我的网友也不是苍蝇
八连杀 	 上面喊着亚麻爹，下面说着木问题
中国好声音第一名是誰 	 男陈春米女汤丽
那我睡了,你快点睡a 	 主人安安～做个好梦
肠胃不好怎么办 	 不好就不好啦，说这么大声是要全世界的人都听到吗
臭美纠结文艺骚年 	 无聊的人说无聊的话
她骗吕佳奇，和你来图书馆 	 啊，原来她是个大骗子！
我说有好几个 	 客官慢用
不要说脏话 	 嗯嗯，都文明点，不说脏话
蚪哥呀 	 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
那你也正面回答呗 	 誰都不會再回頭
你想干什么 	 也没想干嘛，就是想杀个人，看上你了
梁羽生 	 宝贝，你说的话好高深啊，有点像哥德巴赫猜想，暂时无解！
他不喜欢黄 	 不喜欢？为什么
